id,reqid,req_type,batchid,oldbatchid,meter_number,meter_model,meter_manufacturer,manufacture_year,meter_type,meter_rating,v_rating,meter_classification,kct,supplier,meter_category,meter_type_id,ecmi_exported,deployed,addedby,supplierstoreid,supplierstoretype,currentstorelevel,storeowner,owner_type,audit_validated_by,audit_validated_date,billing_validated_by,billing_validated_date,rev_validated_by,rev_validated_date,status,deleted_at,created_at,updated_at
89581,0,0,368,368,45701968872,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:03,2022-03-09 15:05:59
89582,0,0,368,368,45701968930,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:03,2022-03-09 15:05:59
89583,0,0,368,368,45701968898,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:04,2022-03-09 15:05:59
89584,0,0,368,368,45701974011,S34U8 MBUS,MOJEC,2021,THREE PHASE,100A,3X240/415V,,,CWG,1,2,0,0,272,7,1,3,18,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-23 16:49:04,2022-03-09 15:05:59
90410,0,0,369,369,45701970472,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:15,2022-03-09 15:05:59
90412,0,0,369,369,45701959301,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:15,2022-03-09 15:05:59
90413,0,0,369,369,45701983863,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90416,0,0,369,369,45701970522,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90418,0,0,369,369,45701970498,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:16,2022-03-09 15:05:59
90420,0,0,369,369,45701983855,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90421,0,0,369,369,45701951522,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90423,0,0,369,369,45701951548,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:17,2022-03-09 15:05:59
90425,0,0,369,369,45701951563,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
90427,0,0,369,369,45701951555,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
90430,0,0,369,369,45701930948,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:18,2022-03-09 15:05:59
90431,0,0,369,369,45701931003,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:19,2022-03-09 15:05:59
90433,0,0,369,369,45701948718,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:19,2022-03-09 15:05:59
90435,0,0,369,369,45701954203,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:19,2022-03-09 15:05:59
90437,0,0,369,369,45701983871,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:20,2022-03-09 15:05:59
90439,0,0,369,369,45701983889,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:20,2022-03-09 15:05:59
90442,0,0,369,369,45701983822,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:20,2022-03-09 15:05:59
90444,0,0,369,369,45701983848,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:21,2022-03-09 15:05:59
90445,0,0,369,369,45701971447,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:21,2022-03-09 15:05:59
90447,0,0,369,369,45701985314,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:21,2022-03-09 15:05:59
90450,0,0,369,369,45701973989,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:21,2022-03-09 15:05:59
90452,0,0,369,369,45701968906,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:22,2022-03-09 15:05:59
90453,0,0,369,369,45701954161,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:22,2022-03-09 15:05:59
90455,0,0,369,369,45701948700,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:22,2022-03-09 15:05:59
90456,0,0,369,369,45701948734,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:23,2022-03-09 15:05:59
90457,0,0,369,369,45701948726,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:23,2022-03-09 15:05:59
90458,0,0,369,369,45701954146,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:23,2022-03-09 15:05:59
90459,0,0,369,369,45701948767,S34U8MBUS,MOJEC INTERNATIONAL LTD,2021,THREE PHASE,100A,3x240/415V,,,CWG,1,2,0,0,1052,7,1,3,17,0,1061,2022-03-09 15:05:59,0,,239,2022-01-07 10:57:43,2,,2021-12-24 11:12:24,2022-03-09 15:05:59
