transid,transref,enteredby,transdate,transamount,transstatus,accountno,transactionresponsemessage,paymenttype,TransactionBusinessUnit,rowguid
CA7F130C-6993-E911-B827-9C8E9967A7F9,101-FPOS354011592,100,2019-06-20 15:38:27.107000000,1500.00,Success,11/12/64/0035-01,,3,11A,CB7F130C-6993-E911-B827-9C8E9967A7F9
114A410C-369F-E911-B827-9C8E9967A7F9,101-FPOS449610206,100,2019-07-05 16:03:30.880000000,1000.00,Success,11/12/64/0035-01,,3,11A,124A410C-369F-E911-B827-9C8E9967A7F9
C7B82057-E040-EA11-B82D-9C8E9967A7F9,101-FMOB812815177,100,2020-01-27 09:38:13.530000000,1500.00,Success,11/12/64/0035-01,,3,11A,C8B82057-E040-EA11-B82D-9C8E9967A7F9
830C89FC-7516-EA11-B82C-9C8E9967A7F9,101-FPOS622766889,100,2019-12-04 10:11:04.073000000,2000.00,Success,11/12/64/0035-01,,3,11A,840C89FC-7516-EA11-B82C-9C8E9967A7F9
49A0372B-C574-E911-B827-9C8E9967A7F9,101-FPOS216014093,100,2019-05-12 15:49:40.477000000,1000.00,Success,11/12/64/0035-01,,3,11A,4AA0372B-C574-E911-B827-9C8E9967A7F9
EACDC6BE-3328-EC11-846E-20677CD83553,101-FMOB136654370,100,2021-10-08 13:32:11.217000000,3000.00,Success,11/12/64/0035-01,,3,11A,EBCDC6BE-3328-EC11-846E-20677CD83553
EACDC6BE-3328-EC11-846E-20677CZ83554,101-FMOB136654370,100,2021-10-08 13:32:11.217000000,3000.00,Failed,11/12/64/0036-01,,3,11A,EBCDC6BE-3328-EC11-846E-20677CD83553
